":ID",":LABEL","description","rule_reference","date"
"VIOL_103","Violation","ex_parte","",""
"VIOL_104","Violation","bias","",""
"VIOL_105","Violation","improper_procedure","MCR 2.602(C)",""
"VIOL_106","Violation","unclassified","",""
"VIOL_107","Violation","improper_procedure","MCR 2.602",""
"VIOL_108","Violation","bias","",""
"VIOL_109","Violation","improper_procedure","MCR 2.602(C)",""
"VIOL_110","Violation","unclassified","",""
"VIOL_111","Violation","improper_procedure","MCR 2.602",""
"VIOL_112","Violation","bias","",""
"VIOL_113","Violation","improper_procedure","MCR 2.602(C)",""
"VIOL_114","Violation","unclassified","",""
"VIOL_115","Violation","improper_procedure","MCR 2.602",""
"VIOL_116","Violation","improper_procedure","MCR 2.602(C)",""
"VIOL_117","Violation","improper_procedure","MCR 2.602(C)",""
"VIOL_118","Violation","improper_procedure","MCR 2.602(C)",""
"VIOL_119","Violation","bias","",""
"VIOL_120","Violation","ex_parte","",""
"VIOL_121","Violation","ex_parte","MCR 1.109",""
"VIOL_122","Violation","ex_parte","",""
"VIOL_123","Violation","ex_parte","",""
"VIOL_124","Violation","ex_parte","MCR 1.109",""
"VIOL_125","Violation","ex_parte","",""
"VIOL_126","Violation","ex_parte","",""
"VIOL_127","Violation","ex_parte","MCR 1.109",""
"VIOL_128","Violation","ex_parte","",""
"VIOL_129","Violation","ex_parte","",""
"VIOL_130","Violation","ex_parte","MCR 1.109",""
"VIOL_131","Violation","ex_parte","",""
"VIOL_132","Violation","ex_parte","","2024-04-29"
"VIOL_133","Violation","ex_parte","",""
"VIOL_134","Violation","ex_parte","","2024-04-29"
"VIOL_135","Violation","ex_parte","",""
"VIOL_136","Violation","ex_parte","",""
"VIOL_137","Violation","ex_parte","",""
"VIOL_138","Violation","bias","MCR 2.003",""
"VIOL_139","Violation","ex_parte","",""
"VIOL_140","Violation","ex_parte","",""
"VIOL_141","Violation","bias","MCR 2.003",""
"VIOL_142","Violation","ex_parte","",""
"VIOL_143","Violation","ex_parte","",""
"VIOL_144","Violation","bias","MCR 2.003",""
"VIOL_145","Violation","ex_parte","",""
"VIOL_146","Violation","ex_parte","",""
"VIOL_147","Violation","ex_parte","",""
"VIOL_148","Violation","bias","",""
"VIOL_149","Violation","ex_parte","",""
"VIOL_150","Violation","bias","",""
"VIOL_151","Violation","ex_parte","",""
"VIOL_152","Violation","bias","MCR  2.003(C)",""
"VIOL_153","Violation","bias","MCR 2.003(C)",""
"VIOL_154","Violation","bias","MCR 2.003(C)",""
"VIOL_155","Violation","bias","",""
"VIOL_156","Violation","bias","",""
"VIOL_157","Violation","ex_parte","",""
"VIOL_158","Violation","bias","",""
"VIOL_159","Violation","ex_parte","",""
"VIOL_160","Violation","bias","MCR  2.003(C)",""
"VIOL_161","Violation","bias","MCR 2.003(C)",""
"VIOL_162","Violation","bias","MCR 2.003(C)",""
"VIOL_163","Violation","bias","",""
"VIOL_164","Violation","bias","",""
"VIOL_165","Violation","ex_parte","",""
"VIOL_166","Violation","bias","",""
"VIOL_167","Violation","ex_parte","",""
"VIOL_168","Violation","bias","MCR  2.003(C)",""
"VIOL_169","Violation","bias","MCR 2.003(C)",""
"VIOL_170","Violation","bias","MCR 2.003(C)",""
"VIOL_171","Violation","bias","",""
"VIOL_172","Violation","bias","",""
"VIOL_173","Violation","ex_parte","",""
"VIOL_174","Violation","bias","",""
"VIOL_175","Violation","ex_parte","",""
"VIOL_176","Violation","bias","MCR  2.003(C)",""
"VIOL_177","Violation","bias","MCR 2.003(C)",""
"VIOL_178","Violation","bias","MCR 2.003(C)",""
"VIOL_179","Violation","bias","",""
"VIOL_180","Violation","bias","",""
"VIOL_181","Violation","ex_parte","",""
"VIOL_182","Violation","bias","",""
"VIOL_183","Violation","ex_parte","",""
"VIOL_184","Violation","bias","MCR  2.003(C)",""
"VIOL_185","Violation","bias","MCR 2.003(C)",""
"VIOL_186","Violation","bias","MCR 2.003(C)",""
"VIOL_187","Violation","bias","",""
"VIOL_188","Violation","bias","",""
"VIOL_189","Violation","ex_parte","",""
"VIOL_190","Violation","bias","",""
"VIOL_191","Violation","ex_parte","",""
"VIOL_192","Violation","bias","MCR  2.003(C)",""
"VIOL_193","Violation","bias","MCR 2.003(C)",""
"VIOL_194","Violation","bias","MCR 2.003(C)",""
"VIOL_195","Violation","bias","",""
"VIOL_196","Violation","bias","",""
"VIOL_197","Violation","ex_parte","",""
"VIOL_198","Violation","bias","",""
"VIOL_199","Violation","ex_parte","",""
"VIOL_200","Violation","bias","MCR  2.003(C)",""
"VIOL_201","Violation","bias","MCR 2.003(C)",""
"VIOL_202","Violation","bias","MCR 2.003(C)",""
"VIOL_203","Violation","bias","",""
"VIOL_204","Violation","ex_parte","",""
"VIOL_205","Violation","ex_parte","MCR 3.963",""
"VIOL_206","Violation","ex_parte","",""
"VIOL_207","Violation","ex_parte","",""
"VIOL_208","Violation","ex_parte","",""
"VIOL_209","Violation","bias","",""
"VIOL_210","Violation","ex_parte","","2025-11-26"
"VIOL_211","Violation","ex_parte","",""
"VIOL_212","Violation","ex_parte","","2025-11-26"
"VIOL_213","Violation","ex_parte","",""
"VIOL_214","Violation","ex_parte","","2025-11-26"
"VIOL_215","Violation","ex_parte","",""
"VIOL_216","Violation","ex_parte","","2022-11-09"
"VIOL_217","Violation","ex_parte","","2025-08-08"
"VIOL_218","Violation","ex_parte","",""
"VIOL_219","Violation","ex_parte","",""
"VIOL_220","Violation","ex_parte","",""
"VIOL_221","Violation","ex_parte","",""
"VIOL_222","Violation","ex_parte","",""
"VIOL_223","Violation","ex_parte","MCR 3.207(B)",""
"VIOL_224","Violation","ex_parte","",""
"VIOL_225","Violation","ex_parte","MCR 3.207(B)",""
"VIOL_226","Violation","ex_parte","",""
"VIOL_227","Violation","ex_parte","",""
"VIOL_228","Violation","ex_parte","",""
"VIOL_229","Violation","ex_parte","",""
"VIOL_230","Violation","ex_parte","MCR  3.207(B)",""
"VIOL_231","Violation","ex_parte","MCR  3.207",""
"VIOL_232","Violation","ex_parte","",""
"VIOL_233","Violation","ex_parte","",""
"VIOL_234","Violation","ex_parte","","2024-05-13"
"VIOL_235","Violation","ex_parte","","2024-05-13"
"VIOL_236","Violation","ex_parte","","2024-05-13"
"VIOL_237","Violation","ex_parte","","2024-05-13"
"VIOL_238","Violation","ex_parte","",""
"VIOL_239","Violation","ex_parte","",""
"VIOL_240","Violation","bias","MCR 2.003",""
"VIOL_241","Violation","ex_parte","",""
"VIOL_242","Violation","improper_procedure","MCR 2.505",""
"VIOL_243","Violation","unclassified","",""
"VIOL_244","Violation","bias","",""
"VIOL_245","Violation","bias","",""
"VIOL_246","Violation","ex_parte","MCR 3.207",""
"VIOL_247","Violation","ex_parte","",""
"VIOL_248","Violation","ex_parte","",""
"VIOL_249","Violation","ex_parte","",""
"VIOL_250","Violation","ex_parte","",""
"VIOL_251","Violation","ex_parte","",""
"VIOL_252","Violation","ex_parte","",""
"VIOL_253","Violation","ex_parte","",""
"VIOL_254","Violation","ex_parte","MCR 3.207",""
"VIOL_255","Violation","ex_parte","",""
"VIOL_256","Violation","ex_parte","",""
"VIOL_257","Violation","ex_parte","",""
"VIOL_258","Violation","ex_parte","",""
"VIOL_259","Violation","ex_parte","",""
"VIOL_260","Violation","ex_parte","",""
"VIOL_261","Violation","ex_parte","",""
"VIOL_262","Violation","ex_parte","",""
"VIOL_263","Violation","ex_parte","",""
"VIOL_264","Violation","ex_parte","",""
"VIOL_265","Violation","ex_parte","",""
"VIOL_266","Violation","ex_parte","",""
"VIOL_267","Violation","ex_parte","MCR 7.212(C)",""
"VIOL_268","Violation","bias","MCR 7.212(C)",""
"VIOL_269","Violation","ex_parte","MCR 3.207(B)",""
"VIOL_270","Violation","ex_parte","",""
"VIOL_271","Violation","bias","",""
"VIOL_272","Violation","ex_parte","",""
"VIOL_273","Violation","ex_parte","",""
"VIOL_274","Violation","ex_parte","",""
"VIOL_275","Violation","ex_parte","",""
"VIOL_276","Violation","ex_parte","","2024-04-05"
"VIOL_277","Violation","unclassified","","2024-04-29"
"VIOL_278","Violation","ex_parte","","2024-06-05"
"VIOL_279","Violation","ex_parte","","2024-04-29"
"VIOL_280","Violation","ex_parte","","2024-04-29"
"VIOL_281","Violation","unclassified","","2024-05-02"
"VIOL_282","Violation","ex_parte","",""
"VIOL_283","Violation","ex_parte","",""
"VIOL_284","Violation","ex_parte","",""
"VIOL_285","Violation","ex_parte","",""
"VIOL_286","Violation","ex_parte","",""
"VIOL_287","Violation","ex_parte","",""
"VIOL_288","Violation","ex_parte","",""
"VIOL_289","Violation","ex_parte","",""
"VIOL_290","Violation","ex_parte","",""
"VIOL_291","Violation","ex_parte","",""
"VIOL_292","Violation","ex_parte","",""
"VIOL_293","Violation","ex_parte","",""
"VIOL_294","Violation","ex_parte","",""
"VIOL_295","Violation","ex_parte","",""
"VIOL_296","Violation","bias","",""
"VIOL_297","Violation","bias","",""
"VIOL_298","Violation","ex_parte","",""
"VIOL_299","Violation","ex_parte","",""
"VIOL_300","Violation","ex_parte","","2025-08-08"
"VIOL_301","Violation","ex_parte","","2025-08-08"
"VIOL_302","Violation","ex_parte","","2025-08-08"
"VIOL_303","Violation","ex_parte","MCR 3.963",""
"VIOL_304","Violation","ex_parte","",""
"VIOL_305","Violation","ex_parte","",""
"VIOL_306","Violation","ex_parte","",""
"VIOL_307","Violation","bias","",""
"VIOL_308","Violation","bias","",""
"VIOL_309","Violation","bias","",""
"VIOL_310","Violation","ex_parte","MCR 2.003",""
"VIOL_311","Violation","bias","",""
"VIOL_312","Violation","bias","",""
"VIOL_313","Violation","ex_parte","",""
"VIOL_314","Violation","ex_parte","","2024-04-29"
"VIOL_315","Violation","ex_parte","",""
"VIOL_316","Violation","ex_parte","","2024-04-29"
"VIOL_317","Violation","ex_parte","",""
"VIOL_318","Violation","ex_parte","","2024-04-29"
"VIOL_319","Violation","ex_parte","",""
"VIOL_320","Violation","ex_parte","","2024-04-29"
"VIOL_321","Violation","ex_parte","",""
"VIOL_322","Violation","bias","","2023-02-02"
"VIOL_323","Violation","bias","","2023-02-02"
"VIOL_324","Violation","bias","","2023-02-02"
"VIOL_325","Violation","bias","","2023-02-02"
"VIOL_326","Violation","bias","",""
"VIOL_327","Violation","bias","",""
"VIOL_328","Violation","bias","","2024-04-02"
"VIOL_329","Violation","bias","","2024-04-02"
"VIOL_330","Violation","bias","","2024-04-02"
"VIOL_331","Violation","bias","","2024-04-02"
"VIOL_332","Violation","bias","","2024-04-02"
"VIOL_333","Violation","bias","",""
"VIOL_334","Violation","ex_parte","",""
"VIOL_335","Violation","bias","",""
"VIOL_336","Violation","ex_parte","",""
"VIOL_337","Violation","bias","",""
"VIOL_338","Violation","ex_parte","",""
"VIOL_339","Violation","bias","","2023-12-05"
"VIOL_340","Violation","bias","","2023-12-05"
"VIOL_341","Violation","bias","","2023-12-05"
"VIOL_342","Violation","bias","","2023-12-05"
"VIOL_343","Violation","bias","","2023-12-05"
"VIOL_344","Violation","bias","MCR 2.003(C)",""
"VIOL_345","Violation","bias","",""
"VIOL_346","Violation","bias","",""
"VIOL_347","Violation","bias","MCR 2.003(C)",""
"VIOL_348","Violation","bias","MCR 2.003(C)",""
"VIOL_349","Violation","ex_parte","",""
"VIOL_350","Violation","ex_parte","",""
"VIOL_351","Violation","ex_parte","",""
"VIOL_352","Violation","ex_parte","",""
"VIOL_353","Violation","ex_parte","",""
"VIOL_354","Violation","ex_parte","",""
"VIOL_355","Violation","ex_parte","",""
"VIOL_356","Violation","ex_parte","",""
"VIOL_357","Violation","ex_parte","",""
"VIOL_358","Violation","ex_parte","",""
"VIOL_359","Violation","ex_parte","",""
"VIOL_360","Violation","bias","",""
"VIOL_361","Violation","ex_parte","",""
"VIOL_362","Violation","ex_parte","",""
"VIOL_363","Violation","ex_parte","",""
"VIOL_364","Violation","ex_parte","",""
"VIOL_365","Violation","ex_parte","",""
"VIOL_366","Violation","ex_parte","",""
"VIOL_367","Violation","ex_parte","",""
"VIOL_368","Violation","ex_parte","",""
"VIOL_369","Violation","improper_procedure","MCR 2.505",""
"VIOL_370","Violation","unclassified","",""
"VIOL_371","Violation","ex_parte","","2025-11-26"
"VIOL_372","Violation","ex_parte","",""
"VIOL_373","Violation","ex_parte","","2025-11-26"
"VIOL_374","Violation","ex_parte","",""
"VIOL_375","Violation","unclassified","",""
"VIOL_376","Violation","improper_procedure","MCR  3.310(B)",""
"VIOL_377","Violation","ex_parte","",""
"VIOL_378","Violation","ex_parte","",""
"VIOL_379","Violation","ex_parte","",""
"VIOL_380","Violation","ex_parte","",""
"VIOL_381","Violation","ex_parte","",""
"VIOL_382","Violation","ex_parte","",""
"VIOL_383","Violation","ex_parte","",""
"VIOL_384","Violation","ex_parte","MCR 2.612(C)",""
"VIOL_385","Violation","ex_parte","MCR 2.612(C)",""
"VIOL_386","Violation","ex_parte","",""
"VIOL_387","Violation","ex_parte","","2025-08-08"
"VIOL_388","Violation","ex_parte","","2025-08-08"
"VIOL_389","Violation","ex_parte","",""
"VIOL_390","Violation","ex_parte","MCR 3.207",""
"VIOL_391","Violation","ex_parte","",""
"VIOL_392","Violation","ex_parte","MCR 3.207",""
"VIOL_393","Violation","ex_parte","",""
"VIOL_394","Violation","ex_parte","MCR 3.207",""
"VIOL_395","Violation","ex_parte","",""
"VIOL_396","Violation","bias","",""
"VIOL_397","Violation","bias","",""
"VIOL_398","Violation","bias","",""
"VIOL_399","Violation","bias","",""
"VIOL_400","Violation","bias","",""
"VIOL_401","Violation","ex_parte","",""
"VIOL_402","Violation","ex_parte","",""
"VIOL_403","Violation","ex_parte","",""
"VIOL_404","Violation","ex_parte","",""
"VIOL_405","Violation","ex_parte","",""
"VIOL_406","Violation","ex_parte","",""
"VIOL_407","Violation","ex_parte","",""
"VIOL_408","Violation","ex_parte","",""
"VIOL_409","Violation","ex_parte","",""
"VIOL_410","Violation","ex_parte","",""
"VIOL_411","Violation","ex_parte","",""
"VIOL_412","Violation","ex_parte","",""
"VIOL_413","Violation","ex_parte","",""
"VIOL_414","Violation","ex_parte","",""
"VIOL_415","Violation","ex_parte","",""
"VIOL_416","Violation","ex_parte","",""
"VIOL_417","Violation","ex_parte","",""
"VIOL_418","Violation","ex_parte","",""
"VIOL_419","Violation","ex_parte","","2024-05-13"
"VIOL_420","Violation","ex_parte","","2024-05-24"
"VIOL_421","Violation","ex_parte","","2024-05-13"
"VIOL_422","Violation","ex_parte","","2024-05-24"
"VIOL_423","Violation","ex_parte","","2024-05-13"
"VIOL_424","Violation","ex_parte","","2024-05-24"
"VIOL_425","Violation","ex_parte","","2024-05-13"
"VIOL_426","Violation","ex_parte","","2024-05-24"
"VIOL_427","Violation","improper_procedure","MCR 4.302","2024-08-14"
"VIOL_428","Violation","unclassified","","2024-08-14"
"VIOL_429","Violation","ex_parte","","2024-08-23"
"VIOL_430","Violation","ex_parte","","2025-08-08"
"VIOL_431","Violation","ex_parte","","2025-08-08"
"VIOL_432","Violation","ex_parte","MCR 3.207","2025-08-08"
"VIOL_433","Violation","unclassified","",""
"VIOL_434","Violation","ex_parte","",""
"VIOL_435","Violation","bias","MCR 3.210","2024-07-17"
"VIOL_436","Violation","denial_of_hearing","MCR 2.119",""
"VIOL_437","Violation","ex_parte","",""
"VIOL_438","Violation","ex_parte","",""
"VIOL_439","Violation","ex_parte","",""
"VIOL_440","Violation","ex_parte","",""
"VIOL_441","Violation","ex_parte","",""
"VIOL_442","Violation","improper_procedure","MCR 4.302","2024-08-14"
"VIOL_443","Violation","unclassified","","2024-08-14"
"VIOL_444","Violation","ex_parte","",""
"VIOL_445","Violation","ex_parte","",""
"VIOL_446","Violation","ex_parte","",""
"VIOL_447","Violation","bias","",""
"VIOL_448","Violation","unclassified","",""
"VIOL_449","Violation","unclassified","",""
"VIOL_450","Violation","ex_parte","",""
"VIOL_451","Violation","ex_parte","",""
"VIOL_452","Violation","ex_parte","",""
"VIOL_453","Violation","ex_parte","",""
"VIOL_454","Violation","ex_parte","",""
"VIOL_455","Violation","ex_parte","",""
"VIOL_456","Violation","ex_parte","",""
"VIOL_457","Violation","ex_parte","",""
"VIOL_458","Violation","ex_parte","",""
"VIOL_459","Violation","ex_parte","",""
"VIOL_460","Violation","ex_parte","",""
"VIOL_461","Violation","ex_parte","",""
"VIOL_462","Violation","ex_parte","",""
"VIOL_463","Violation","ex_parte","",""
"VIOL_464","Violation","ex_parte","",""
"VIOL_465","Violation","bias","",""
"VIOL_466","Violation","bias","",""
"VIOL_467","Violation","bias","",""
"VIOL_468","Violation","ex_parte","",""
"VIOL_469","Violation","ex_parte","",""
"VIOL_470","Violation","improper_procedure","MCR 2.505",""
"VIOL_471","Violation","unclassified","",""
"VIOL_472","Violation","ex_parte","",""
"VIOL_473","Violation","improper_procedure","MCR 2.505",""
"VIOL_474","Violation","unclassified","",""
"VIOL_475","Violation","ex_parte","",""
"VIOL_476","Violation","improper_procedure","MCR 2.505",""
"VIOL_477","Violation","unclassified","",""
"VIOL_478","Violation","bias","",""
"VIOL_479","Violation","ex_parte","",""
"VIOL_480","Violation","ex_parte","",""
"VIOL_481","Violation","bias","",""
"VIOL_482","Violation","bias","",""
"VIOL_483","Violation","ex_parte","",""
"VIOL_484","Violation","ex_parte","",""
"VIOL_485","Violation","ex_parte","",""
"VIOL_486","Violation","ex_parte","",""
"VIOL_487","Violation","ex_parte","",""
"VIOL_488","Violation","ex_parte","",""
"VIOL_489","Violation","ex_parte","",""
"VIOL_490","Violation","ex_parte","",""
"VIOL_491","Violation","ex_parte","",""
"VIOL_492","Violation","ex_parte","",""
"VIOL_493","Violation","ex_parte","",""
"VIOL_494","Violation","ex_parte","",""
"VIOL_495","Violation","bias","",""
"VIOL_496","Violation","bias","",""
"VIOL_497","Violation","bias","",""
"VIOL_498","Violation","bias","",""
"VIOL_499","Violation","ex_parte","",""
"VIOL_500","Violation","ex_parte","",""
"VIOL_501","Violation","ex_parte","MCR 3.207",""
"VIOL_502","Violation","ex_parte","",""
"VIOL_503","Violation","ex_parte","",""
"VIOL_504","Violation","ex_parte","MCR 3.207",""
"VIOL_505","Violation","ex_parte","",""
"VIOL_506","Violation","ex_parte","",""
"VIOL_507","Violation","ex_parte","MCR 3.207",""
"VIOL_508","Violation","ex_parte","",""
"VIOL_509","Violation","ex_parte","",""
"VIOL_510","Violation","ex_parte","MCR 3.207",""
"VIOL_511","Violation","ex_parte","",""
"VIOL_512","Violation","bias","",""
"VIOL_513","Violation","bias","",""
"VIOL_514","Violation","bias","",""
"VIOL_515","Violation","bias","",""
"VIOL_516","Violation","bias","",""
"VIOL_517","Violation","bias","",""
"VIOL_518","Violation","bias","",""
"VIOL_519","Violation","bias","",""
"VIOL_520","Violation","bias","",""
"VIOL_521","Violation","bias","",""
"VIOL_522","Violation","bias","",""
"VIOL_523","Violation","bias","",""
"VIOL_524","Violation","ex_parte","",""
"VIOL_525","Violation","ex_parte","MCR 3.207","2024-04-26"
"VIOL_526","Violation","ex_parte","",""
"VIOL_527","Violation","ex_parte","",""
"VIOL_528","Violation","ex_parte","",""
"VIOL_529","Violation","ex_parte","",""
"VIOL_530","Violation","ex_parte","",""
"VIOL_531","Violation","ex_parte","",""
"VIOL_532","Violation","ex_parte","",""
"VIOL_533","Violation","ex_parte","",""
"VIOL_534","Violation","ex_parte","",""
"VIOL_535","Violation","ex_parte","",""
"VIOL_536","Violation","ex_parte","",""
"VIOL_537","Violation","ex_parte","",""
"VIOL_538","Violation","ex_parte","",""
"VIOL_539","Violation","ex_parte","",""
"VIOL_540","Violation","ex_parte","",""
"VIOL_541","Violation","ex_parte","",""
"VIOL_542","Violation","ex_parte","",""
"VIOL_543","Violation","ex_parte","",""
"VIOL_544","Violation","ex_parte","",""
"VIOL_545","Violation","ex_parte","",""
"VIOL_546","Violation","ex_parte","",""
"VIOL_547","Violation","ex_parte","",""
"VIOL_548","Violation","ex_parte","","2024-04-29"
"VIOL_549","Violation","ex_parte","",""
"VIOL_550","Violation","ex_parte","","2024-04-29"
"VIOL_551","Violation","ex_parte","",""
"VIOL_552","Violation","ex_parte","","2024-04-29"
"VIOL_553","Violation","ex_parte","",""
"VIOL_554","Violation","ex_parte","","2024-04-29"
"VIOL_555","Violation","ex_parte","",""
"VIOL_556","Violation","ex_parte","","2024-04-29"
"VIOL_557","Violation","ex_parte","",""
"VIOL_558","Violation","ex_parte","","2024-04-29"
"VIOL_559","Violation","ex_parte","",""
"VIOL_560","Violation","ex_parte","","2024-04-29"
"VIOL_561","Violation","ex_parte","",""
"VIOL_562","Violation","ex_parte","","2024-04-29"
"VIOL_563","Violation","ex_parte","",""
"VIOL_564","Violation","ex_parte","","2024-04-29"
"VIOL_565","Violation","ex_parte","",""
"VIOL_566","Violation","ex_parte","","2024-04-29"
"VIOL_567","Violation","ex_parte","",""
"VIOL_568","Violation","ex_parte","","2024-04-29"
"VIOL_569","Violation","ex_parte","",""
"VIOL_570","Violation","ex_parte","","2024-04-29"
"VIOL_571","Violation","ex_parte","",""
"VIOL_572","Violation","ex_parte","","2024-04-29"
"VIOL_573","Violation","ex_parte","",""
"VIOL_574","Violation","ex_parte","","2024-04-29"
"VIOL_575","Violation","ex_parte","",""
"VIOL_576","Violation","ex_parte","","2024-04-29"
"VIOL_577","Violation","ex_parte","",""
"VIOL_578","Violation","ex_parte","","2024-04-29"
"VIOL_579","Violation","ex_parte","",""
"VIOL_580","Violation","ex_parte","","2024-04-29"
"VIOL_581","Violation","ex_parte","",""
"VIOL_582","Violation","ex_parte","","2024-04-29"
"VIOL_583","Violation","ex_parte","",""
"VIOL_584","Violation","ex_parte","","2024-04-29"
"VIOL_585","Violation","ex_parte","",""
"VIOL_586","Violation","ex_parte","","2024-04-29"
"VIOL_587","Violation","ex_parte","",""
"VIOL_588","Violation","ex_parte","","2024-04-29"
"VIOL_589","Violation","ex_parte","",""
"VIOL_590","Violation","ex_parte","","2024-04-29"
"VIOL_591","Violation","ex_parte","",""
"VIOL_592","Violation","ex_parte","","2024-04-29"
"VIOL_593","Violation","ex_parte","",""
"VIOL_594","Violation","ex_parte","","2024-04-29"
"VIOL_595","Violation","ex_parte","",""
"VIOL_596","Violation","ex_parte","","2024-04-29"
"VIOL_597","Violation","ex_parte","",""
"VIOL_598","Violation","ex_parte","","2024-04-29"
"VIOL_599","Violation","ex_parte","",""
"VIOL_600","Violation","ex_parte","","2024-04-29"
"VIOL_601","Violation","ex_parte","",""
"VIOL_602","Violation","ex_parte","","2024-04-29"
"VIOL_603","Violation","ex_parte","",""
"VIOL_604","Violation","ex_parte","","2024-04-29"
"VIOL_605","Violation","ex_parte","",""
"VIOL_606","Violation","ex_parte","","2024-04-29"
"VIOL_607","Violation","ex_parte","",""
"VIOL_608","Violation","ex_parte","","2024-04-29"
"VIOL_609","Violation","ex_parte","",""
"VIOL_610","Violation","ex_parte","","2024-04-29"
"VIOL_611","Violation","ex_parte","",""
"VIOL_612","Violation","ex_parte","","2024-04-29"
"VIOL_613","Violation","ex_parte","",""
