Filename,Full Path,Size (bytes),Size (MB),Pages,Document Type,Modified Date,Text Preview (first 100 chars)
NoReply_20250703_115143_0043.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0043.pdf,72127,0.07,1,Complaint,2025-07-22 12:01:00,"ST  ATE  OF MICHIGAN IN THE  60""  DISTRICT  COURT SHADY  OAKS  MHP,  LLC File  No.  25061626LT V. Pl"
NoReply_20250703_115143_0045.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0045.pdf,33400,0.03,1,Complaint,2025-07-22 12:01:52,"ST ATE  OF MICHJGAN IN THE 60""' DISTRICT  COURT SHADY  OAKS  MHP,  LLC File  No.  25061626LT V. Plai"
NoReply_20250703_115143_0046.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0046.pdf,30834,0.03,1,Unknown,2025-07-22 12:02:42,"Pigors  references   MCR   4.201(F)   in  support   of his  inotion,   however  that  court   rule r"
NoReply_20250703_115143_0051.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0051.pdf,37776,0.04,1,Complaint,2025-07-22 12:03:22,"ST  ATE  OF MICHIGAN IN THE  60TH  DISTRICT  COURT SHADY  OAKS  PARK  MHP  LLC Plaintiff, V. ANDREW"
NoReply_20250703_115143_0052.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0052.pdf,44131,0.04,1,Unknown,2025-07-22 12:04:04,"'.illqllcl  <.II?)Q% IO""llli:1.'iV';   IN'VI'-IR   >J.-It-1.121I11 01 ;) €4.) !'!.I J 1? (1 )iqiqt-."
NoReply_20250703_115143_0053.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0053.pdf,27301,0.03,1,Complaint,2025-07-22 12:04:30,"ST  ATE  OF  MICHIGAN IN  THE  60TH  DISTRiCT  COURT SHADY  OAKS  PARK  MHP  LLC Plaintiff, V. ANDRE"
NoReply_20250703_115143_0058.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0058.pdf,93458,0.09,1,Unknown,2025-07-22 12:05:16,"Transactions Date  Range:   From  1/03/25 "" _ # l ' ,11'  :. _ ...l'i  ll""   _  - .  ..,l'   _ lI An"
NoReply_20250703_115143_0060.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0060.pdf,71108,0.07,1,Judgment,2025-07-22 12:05:50,"z*a STATE  OF MICHIGAN 6g,5   JUDICIAL DISTRICT ORDER  FOR  REINSTATEMENT  OF CASE  AND  ENTRY  OF J"
NoReply_20250703_115143_0061.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_115143_0061.pdf,48018,0.05,1,Judgment,2025-07-22 12:06:14,"ago Order  for  Reinstatement  of Case  and  Entry  of  Judgment,  Landlord-Tenant   (7/20) Page 2 o"
NoReply_20250703_121903_0001.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_121903_0001.pdf,37872,0.04,1,Complaint,2025-07-22 11:49:26,"Court  address 990 Terrace St., Suite 100 Muskegon,  Ml 49442-3377 Court  telephone  no. (23])  724-"
NoReply_20250703_121903_0002.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_121903_0002.pdf,37483,0.04,1,Complaint,2025-07-22 11:49:28,"""H""(j%a Court  address 990 Terrace  st., Suite  100 Muskegon,  Ml  49442-3377 Court  telephone  no."
NoReply_20250703_121903_0003.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250703_121903_0003.pdf,36770,0.04,1,Complaint,2025-07-22 11:49:30,"Court  address 990  Terrace  st., Suite  100  Muskegon,  Ml  49442-3377 Court  telephone  no. (231)"
NoReply_20250708_172834_0001.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250708_172834_0001.pdf,19969,0.02,1,Complaint,2025-07-22 11:48:22,"Requestand0rderofEvictionafterConditionalDismissal,Landlord-TenanULandContract  (11/23) Page  2 of 2"
NoReply_20250721_125049_0001.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250721_125049_0001.pdf,45151,0.04,1,Complaint,2025-07-22 11:42:08,"Approved,  SCAO Court  address 990  Temice  St  Muskegon  MI49442 Ortginal  - Court  file 1 st copy"
NoReply_20250721_125049_0002.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250721_125049_0002.pdf,30311,0.03,1,Unknown,2025-07-22 11:42:06,"NORTH  MUSKEGON 404  CEIIIIEI:!  ST MUSKtGON,  Mj  494zl'.)""24Ui: (8C)0)275-8-/77 Clb/  (18 -'2i,i25"
NoReply_20250819_183318_0001.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250819_183318_0001.pdf,35295,0.03,1,Ex Parte/Temporary,2025-08-28 14:53:42,RECE  I VED  8 / 8 / 2 1)2 5 FILED  8/8/2025 14th  CIRCUIT  COURT MUSKEGON  COUNTY ST ATE OF MICHIGA
NoReply_20250819_183318_0002.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250819_183318_0002.pdf,49901,0.05,1,Unknown,2025-08-28 14:53:42,"r;F,7,  5,  ""',,,,5-6 Denied The  court  is not  satisfied  by  specific  facts  set  forth  in the"
NoReply_20250819_183318_0003.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250819_183318_0003.pdf,572958,0.55,1,Unknown,2025-08-28 14:53:42,"STATE   OF   MICHIGAN 58TH   JUDICIAL   DISTRICT NOTICE   TO   APPEAR   , Case   No:   HU25009128"
NoReply_20250819_183318_0004.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250819_183318_0004.pdf,34340,0.03,1,Complaint,2025-08-28 14:53:42,"ST  ATE  OF  MICHIGAN IN  THE  14th  CIRCUIT  COURT MUSKEGON  COUNTY ANDREW  J. PIGORS Plaintiff, V."
NoReply_20250819_183318_0005.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250819_183318_0005.pdf,145920,0.14,1,Judgment,2025-08-28 14:53:42,"Law  Offices  of  Aaron  D. Cox,  PLLC Dated:  August  12, 2025 /S/  Jeremy  B. Brown By:  Jeremy  B"
NoReply_20250819_183318_0006.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250819_183318_0006.pdf,33507,0.03,1,Complaint,2025-08-28 14:53:42,"ST  ATE  OF  MICHIGAN IN  THE  14th  CIRCUIT  COURT MUSKEGON  COUNTY ANDREW  J. PIGORS Plaintiff, V."
NoReply_20250819_183318_0007.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250819_183318_0007.pdf,23448,0.02,1,Court Order,2025-08-28 14:53:42,"IT  IS  HEREBY  ORDERED  that  for  those  reasons  set forth  in Defendants'  Motion  and Brief,  a"
NoReply_20250820_154304_0001.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250820_154304_0001.pdf,87054,0.08,1,Judgment,2025-08-28 14:53:06,"ST  ATE  OF MICHIGAN IN  THE  14TH  CIRCUIT  COtJRT MUSKEGON  COUNTY ANDREW  J. PIGORS, Plaintiff, C"
NoReply_20250820_154304_0002.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250820_154304_0002.pdf,88020,0.08,1,Judgment,2025-08-28 14:53:06,"ST  ATE  OF MICHIGAN IN  THE  1 4TH  CIRCUIT  COURT MUSKEGON  COUNTY ANDREW  J. PIGORS, Plaintiff, C"
NoReply_20250820_154304_0003.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250820_154304_0003.pdf,103440,0.10,1,Judgment,2025-08-28 14:53:06,a. Continued  rent  and utility  billing  in violation  of  EGLE  safety  standards  following  raw
NoReply_20250820_154304_0004.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250820_154304_0004.pdf,65564,0.06,1,Judgment,2025-08-28 14:53:06,"WHEREFORE,  Plaintiff  respectfully  requests  that  this  Court: A. Reject  the proposed  Order  an"
NoReply_20250820_154304_0005.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250820_154304_0005.pdf,33069,0.03,1,Unknown,2025-08-28 14:53:06,SERVICE  LIST Served  on the following  recipient  by  first-class  U.S.  mail  and by  email  on Au
NoReply_20250820_154304_0006.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250820_154304_0006.pdf,73698,0.07,1,Complaint,2025-08-28 14:53:06,"ST  ATE  OF MICHIGAN IN  THE  14TH  CIRCUIT  COURT MUSKEGON  CO'[JNTY ANDREW  J. PIGORS, Plaintiff,"
NoReply_20250820_154304_0007.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250820_154304_0007.pdf,33653,0.03,1,Unknown,2025-08-28 14:53:08,SERVICE  LIST Served  on the following  recipient  by  first-class  U.S.  mail  and by  email  on Au
NoReply_20250822_092609_0001.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0001.pdf,66105,0.06,1,Unknown,2025-08-28 14:52:24,",r  ORAL  INTRODUCTION  FOR  SLIDESHOW  EXHIBIT (PARENTING  TIME  -  IMAGES  OF MINOR  CHILD,  LINCO"
NoReply_20250822_092609_0002.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0002.pdf,31202,0.03,1,Motion,2025-08-28 14:52:24,*   MRE  1001  & 1002  -  Definitions  and Best  Evidence  Rule  (you're  offering  original digital
NoReply_20250822_092609_0003.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0003.pdf,56086,0.05,1,Complaint,2025-08-28 14:52:24,ST  ATE  OF  MICHIGAN IN  THE  14TH  JUDICIAL  CIRCUIT  COURT COUNTY  OF  MUSKEGON  -  FAMILY  DIVIS
NoReply_20250822_092609_0004.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0004.pdf,52784,0.05,1,Ex Parte/Temporary,2025-08-28 14:52:24,Authority:  Michigan  Judicial  Benchbook:  §5.4  (Ex  Parte  Use);  §4.6 (Best-Interest  Evidence)
NoReply_20250822_092609_0005.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0005.pdf,43370,0.04,1,Ex Parte/Temporary,2025-08-28 14:52:24,V.  RELIEF  DEMANDED Plaintiff  respectfully  requests  that this Court  grant  the following: €  Im
NoReply_20250822_092609_0006.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0006.pdf,60340,0.06,1,Court Order,2025-08-28 14:52:24,ST  ATE  OF  MICHIGAN IN  THE  14TH  CIRCUIT  COURT  FOR  THE  COUNTY  OF  MUSKEGON FAMILY  DIVISION
NoReply_20250822_092609_0007.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0007.pdf,71235,0.07,1,Unknown,2025-08-28 14:52:24,"do creative  activities,  educational  games,  outdoor  exploration,  and quality  bonding  that fos"
NoReply_20250822_092609_0008.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0008.pdf,59404,0.06,1,Ex Parte/Temporary,2025-08-28 14:52:24,"narratives,  and suppression  of  the truth,  I have  remained  consistent  in my  parenting  and ad"
NoReply_20250822_092609_0009.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0009.pdf,34807,0.03,1,Complaint,2025-08-28 14:52:24,"ST ATE  OF MICHIGAN-1  4TH  JUDICIAL  CIRCUIT  COURT,  MUSKEGON COUNTY FAMILY  DIVISION Andrew  J. P"
NoReply_20250822_092609_0010.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0010.pdf,32946,0.03,1,Unknown,2025-08-28 14:52:24,G H I J K L M N o P s T U v 202507121  82902.jpg 2025071  310095  l .jpg 20250713  164554.3pg 202507
NoReply_20250822_092609_0011.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0011.pdf,51138,0.05,1,Complaint,2025-08-28 14:52:24,ST  ATE  OF  MICHIGAN IN  THE  14TH  JUDICIAL  CIRCUIT  COURT  FOR  THE  COUNTY  OF  MUSKEGON  - FAM
NoReply_20250822_092609_0012.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0012.pdf,59029,0.06,1,Complaint,2025-08-28 14:52:24,"€  4. EXPANDED  PARENTING  TIME  -  WEEKLY  SCHEDULE Effective  irnrnediately,  Plaintiff  shall  ex"
NoReply_20250822_092609_0013.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0013.pdf,43650,0.04,1,Ex Parte/Temporary,2025-08-28 14:52:24,€ 10. LIMIT  ATION  ON FUTURE  EX  PARTE  FILINGS  BY  DEFENDANT Defendant  shall not file any furth
NoReply_20250822_092609_0014.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0014.pdf,480791,0.46,1,Unknown,2025-08-28 14:52:24,"J  -'s  ""'   l   l :!"
NoReply_20250822_092609_0015.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0015.pdf,478661,0.46,1,Unknown,2025-08-28 14:52:24,/-AN' vfia i m mum X (1 X'
NoReply_20250822_092609_0016.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0016.pdf,284262,0.27,1,Unknown,2025-08-28 14:52:26,
NoReply_20250822_092609_0017.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0017.pdf,1088718,1.04,1,Unknown,2025-08-28 14:52:26,"ffi !,  , ..)' 7;f, t  ; r ,  01  r i h3.  S ji  I g, 6  'j :  ki: ""i    2 !'7'> ,  9 I  (t"
NoReply_20250822_092609_0018.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0018.pdf,1216189,1.16,1,Unknown,2025-08-28 14:52:26,"""-  We"
NoReply_20250822_092609_0019.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250822_092609_0019.pdf,540873,0.52,1,Unknown,2025-08-28 14:52:26,
NoReply_20250826_112214_0001.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250826_112214_0001.pdf,440788,0.42,1,Unknown,2025-08-28 14:51:22,Take  fhe  aftaehed  order(s)  and  a vaffljd NO wiffa you  af your  scheduled  time. PLEASEN €}TE -
NoReply_20250826_112214_0002.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250826_112214_0002.pdf,582461,0.56,1,Unknown,2025-08-28 14:51:22,Case   No:   HU25009128   ST X-REF: OFFENSEi   1)RECKLESS  DRV Court   Address   3100   PORT  SHELDO
NoReply_20250826_112214_0003.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250826_112214_0003.pdf,538522,0.51,1,Complaint,2025-08-28 14:51:22,Case   No:   HU25009128   ST X-REF: OFFENSE:   1)RECKLESS   DRV Court   Address   3100   PORT  SHELD
NoReply_20250826_112214_0004.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250826_112214_0004.pdf,102543,0.10,1,Unknown,2025-08-28 14:51:22,ORI MI  - 7 0 0 0 4 5 J Court   Address   3100   PORT  SHELDON  ROAD HUDSONVILLE   MI   49426 Court
NoReply_20250826_112214_0005.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250826_112214_0005.pdf,48819,0.05,1,Unknown,2025-08-28 14:51:24,"Philip R. Sielski %blic  Defender Jeanna Johnson Office  Coordinator (-(i'JllT""(irr-yTT/-/'//- nrplr"
NoReply_20250827_141747_0001.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_141747_0001.pdf,42065,0.04,1,Complaint,2025-08-28 14:41:26,"Spill/Incident/Pollution 'wrsion2,19 (Submission  #. HQB-BRF54X7Z5,ffin  1) Digitally  signed  by: M"
NoReply_20250827_141747_0002.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_141747_0002.pdf,36236,0.03,1,Complaint,2025-08-28 14:41:26,"Time  of  Issue  (tfan  exacttirne  is not  known,  please  provide  any  relevant  information  in"
NoReply_20250827_141747_0003.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_141747_0003.pdf,43028,0.04,1,Unknown,2025-08-28 14:41:26,"From: Sent: To: Subject: LARA-BCC-Licensing 4/4/2025  12:37:34  PM ""StAmour,  Amanda  (EGLE)"" <STAMO"
NoReply_20250827_141747_0004.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_141747_0004.pdf,30768,0.03,1,Complaint,2025-08-28 14:41:26,"Water  Resources  Division NOTE  TO  FILE FILE  NUMBER: FROM:   Amanda  St. Amour DATE:   April  4,"
NoReply_20250827_141747_0005.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_141747_0005.pdf,77722,0.07,1,Unknown,2025-08-28 14:41:26,"3/20/25,  2:40 PM Gmail  - (no subject) [Gmail (no  subject) 2 messages Andrew P <andrewjpigors@gmai"
NoReply_20250827_141747_0006.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_141747_0006.pdf,101593,0.10,1,Unknown,2025-08-28 14:41:26,"3/1 8/25, 2:38 PM Gmail - Sewage  leak. Ng2 M  Gmail Sewage  leak.  Ng2 'i message Andrew  P <andrew"
NoReply_20250827_141747_0007.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_141747_0007.pdf,66806,0.06,1,Complaint,2025-08-28 14:41:26,"3/1 8/25,  2:38  PM Gmail  -  # FORMAL  COMPLAINT:  ONGOING  SEWAGE  ISSUE  AT SHADY  OAKS  PARK  MH"
NoReply_20250827_141747_0008.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_141747_0008.pdf,99982,0.10,1,Unknown,2025-08-28 14:41:26,"3/18/25, 2:38 PM Gmail - Sewage  leak. Ng2 %Gmail Sewage  leak.  Ng2 4 message Andrew  P <andrewjpig"
NoReply_20250827_141747_0009.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_141747_0009.pdf,13220,0.01,1,Unknown,2025-08-28 14:41:26,"3/18/25,  2:38  PM Gmail  - Sewage  leak.  Ng2 Phone:  231-903-5690 Email: andrewjpigors@gmail.com h"
NoReply_20250827_141747_0010.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_141747_0010.pdf,67228,0.06,1,Complaint,2025-08-28 14:41:28,"3/18/25,  2:38  PM Gmail  -  # FORMAL  COMPLAINT:  ONGOING  SEWAGE  ISSUE  AT SHADY  OAKS  PARK  MHP"
NoReply_20250827_142306_0001.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0001.pdf,58127,0.06,1,Motion,2025-08-28 14:45:32,"Ml,.Ji<.,l""',:'i""',iQi% Ivy  L. Wiltenburg Chief Deputy  County  Clerk June  18,  2025 Andrew  Pigor"
NoReply_20250827_142306_0002.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0002.pdf,47480,0.05,1,Complaint,2025-08-28 14:45:32,ST  ATE  OF MICHIGAN IN THE  I 4TH  CIRCUIT  COURT  FOR  THE  COUNTY  OF MUSKEGON ***** ANDREW  J. P
NoReply_20250827_142306_0003.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0003.pdf,23925,0.02,1,Court Order,2025-08-28 14:45:32,may  move  for  preliminary  injunction  only  upon  proper  notice  for  hearing  and proof  of ser
NoReply_20250827_142306_0004.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0004.pdf,71986,0.07,1,Complaint,2025-08-28 14:45:32,4 4 agll &i> ST  ATE  OF  MICHIGAN IN  THE  14TH  JUDICIAL  CIRCUIT  COURT FOR  THE  COUNTY  OF  MUS
NoReply_20250827_142306_0005.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0005.pdf,65887,0.06,1,Complaint,2025-08-28 14:45:32,"Amend.  XIV, ii Federal  civil  rights  violations  pursuant  to 42 U.S.C.  § 1983. :2.. Plaintiff"
NoReply_20250827_142306_0006.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0006.pdf,39900,0.04,1,Complaint,2025-08-28 14:45:32,E. Plaintiff's  access to utility  services  and occupancy  of  Lot  17 shall  be preserved  and mai
NoReply_20250827_142306_0007.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0007.pdf,394460,0.38,1,Complaint,2025-08-28 14:45:32,"Irti THE  1,4""r, H CARCU.I-[ CX)UR.T FOR  THE  COUI'JTY  OF MUSKE(.iONi,  ST.AT'E OF ri/ilCl-NNGAN C"
NoReply_20250827_142306_0008.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0008.pdf,423679,0.40,1,Complaint,2025-08-28 14:45:32,"d-'y: E:,- '17E o  7 /  3 / 2 025 m THE 14TH CIRCUIT  COURT  FOR  THE  CO'UNTY  OF MUSKEGON,  STATE"
NoReply_20250827_142306_0009.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0009.pdf,285818,0.27,1,Complaint,2025-08-28 14:45:32,"CML  PRE-TRIA[ /:';  i <,t  .!""a'a'7'ar'  ;',.,a""a'caa  t."" a DATE:   7 '-'!  ':""  ""'- CASE NUMBER-"
NoReply_20250827_142306_0010.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0010.pdf,115257,0.11,1,Unknown,2025-08-28 14:45:32,"*Si%lliRl'W  tilt n)R'; lilllillllll/(  'llllllllii  i )I-II liilnlli, :;II a'il 1%a  l i.-\li'.!i"
NoReply_20250827_142306_0011.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0011.pdf,115714,0.11,1,Motion,2025-08-28 14:45:32,",,40 Ml]IIIS  sloling ihal lhc ptiyincnl  w(IS ncvcr scnt.  I)laintiffsccks  <lisi'nissal or Shady 0"
NoReply_20250827_142306_0012.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0012.pdf,142898,0.14,1,Unknown,2025-08-28 14:45:32,:'154.  13Q  rcgcilatcs  o 1midlor%x  (fill:1'  tu iniiiiniiin II l'iiil'iiliitilc  11101)(15  : xit
NoReply_20250827_142306_0013.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0013.pdf,95018,0.09,1,Unknown,2025-08-28 14:45:32,1 s Plninliff  hns  nnl.  sitffcrccl  pcrsonal  ir;jury.  Rii'rtihlo's('on.salrireliniy  ('nip. li M
NoReply_20250827_142306_0014.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0014.pdf,312397,0.30,1,Unknown,2025-08-28 14:45:32,"liiiiilluitl iiiiiniii  ii.iiiiiluiiiiiiili, l\%ii'io IlliTtl Ill Ill) hitlillllllia iiiiil i.iiiiii"
NoReply_20250827_142306_0015.pdf,C:\Users\andre\Desktop\SHADYOAKS_EVIDENCE_001\NoReply_20250827_142306_0015.pdf,147198,0.14,1,Unknown,2025-08-28 14:45:34,"k'4CR 2. I R1 (11 (2) 11('lalllitS tlliS (Olll't  t(j l?filr1t Sl1lTlltt'li ',. (!i ,j)ii'iill011 IO"
