file,page,sentence,hits
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0055.pdf,1,Domestic violence regardless of whether the violence was directed against or witnessed by the children.,domestic violence
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0055.pdf,1,"The Court is specifically referencing the PPO, the police reports, and the testimony regarding Plaintiff/Father having a camera that he intended to send to Defendant's/Mother's home This Factor favors Defendant/Mother 1.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0053.pdf,1,"Plaintiff/Father f,ails to underqtand'.5qw his behavior, such as calling muitiple police departments on the same day regarding Defendant/Mother, and how he speaks 'to Defenaant/Mothe rin the AppClose transcript ,amoun tto badgerin@ and harassment inflicted on DefendanUMother.","harass,harassment"
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0053.pdf,1,DefendanUMother does not have any mental or physical health ooncerns.,mental
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0050.pdf,1,"IT IS FURTHER ORDERED that parties participated in a Facilitative Information Gathering Conference which resulted in a temporary Order titled Ex Parte Order for Custody, Parenting Time, and Child Support Following Facilitative Information Gathering Conference, entered on April 29, 2024.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0050.pdf,1,"IT IS FIJRTHER ORDERED that the Ex Parte Order for Custody, Parenting Time, and Child Support Following Facilitative Information Gathering Conference is dismissed.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0050.pdf,1,"IT IS FURTHER ORDERED that this Judgment of Custody, Parenting Time, and Chi!d Support is the initial Order regarding custody and parenting time, issued by this Court.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0050.pdf,1,"Plaintiff's filing of these Motions was done as harassment to Defendant and to the Court, along with an abuse of the Court system.","abuse,harass,harassment"
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0048.pdf,1,"The Court and Attorneys of Record should take notice of this Appearance Dated: May 13, 2024 B%k406 PROOF OF SERVICE STATE OF MICH(GAN )ss COUNTY OF MUSKEGON ) The undersigned certifies that on May 13, 2024, she served a true copy of the Appearance and Notice; Defendant's Objection to Ex Parte Order for Custody, Parenting Time, and Child Support Following Facilitative Information Gathering Conference; and Notice of Hearing, upon, Andrew James Pigors, an In Pro Per Plaintiff via United State Postal Service to the address identified above in an envelope bearing postage fully prepaid.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0049.pdf,1,"COURT ORDERED JUDGMENT OF CUSTODY, PARENTING TIME, AND CHILD SUPPORT ANDREW JAMES PIGORS JENNIFER l-.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0049.pdf,1,"MCNEILL CIRCUIT COURT J!JDGE A Non-Jury Trial Regarding Custody, Parenting Time, and Child Support was conducted on July 17, 2024, In Person before Judge Jenny L.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0046.pdf,1,Date: 10/04/2024 Michigan Child Support Enforcement System RPID: NCPD Time: 11 :'l 1 :55 AM NCP Financial Detail Report Page: d of 2 Report Period: 06/01/2024 to 10/04/2024 [CONFIDENTIAL - FOR PAYER USE ONLY] Payer 10: 67567016 Payer Name: ANDREW JAMES PIGORS Docket - County: 2024001507DC - 061 Legal Address: Mailing Address: ANDREW JAMES PIGORS 1977 WHITEHALL RD LOT 17 1977 WHITEHALL RD LOT 17 MUSKEGON Ml 49445 MUSKEGON Ml 49445 Docket: 2024001507[)C Docket County: 061 - Muskegon Docket Status: OPEN Case ID: 914039314 Payee Name: EMILY Case Status: OPEN Dependents DOB Emancipation Date Actively Charging Obligation LINCOLN 11 /09/2022 05/31 /204I Y Current Account Information Summary Current Fixed Fixed Month's Balance Obligation Payoff Debt Type Charges Owed Indicator Balance Docket: 2024001 507DC - 061 Case IC: 9'l4039314 CS-CHILD SUPPORT 320 00 776.33 MS-MEDICAL SUPPORT-CLIENT 12 00 29 19 PF-PROCESSING FEES 00 7 50 SF-SERVICE FEES 00 10.00 Docket l'ota : 332.00 823.02 Processing and Service fees are assessed semi-annually in January and July.,ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0046.pdf,1,"This report may contain child support information and/or federal tax information (FTI) that is confidenUal pursuant to federal laws and regulations 45 Code of Federal Regulations (CFR) 303.21, 26 United States Code (USC) 6103 Unauthorized use, disclosure, or distribution of this information is prohibited and may be subject to civil and criminal penalties, including fines and imprisonment.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0046.pdf,1,"I f you are not the intended recipient of this report, please contact the Office of Child Support at 517-373-9202 or MDHHS-QCS-Security@michigan.gov.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0047.pdf,1,"AND CHILD SUPPORT UNIFORM CHILD SUPPORT ORDER FOC10 AND FOCIOD NOTICE IS HEREBY GIVEN, that pursuant to MCR 2.602(B)(3), et.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0047.pdf,1,"Dated: PROOF OF SERVICE The undersigned certifies that ori she served a true copy of Court Ordered Judgment of Custody, Parenting Time, and Child Support; Uniform Child Support Order FOCIO and FOCIOd, upon Andrew James Pigors, via electronic submission to: ISPS bearing postage fully prepaid to the address identified above.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0042.pdf,1,"On April 1, 2024 a Summons and Complaint for Custody, Parenting Time and Child Support was filed with the Court.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0042.pdf,1,Parties were met with separately due to a Personal Protection Order (23-005907-PP).,protection order
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0043.pdf,1,"On April 29, 2024 an Ex Parte Order for Custody, Parenting Time and Child Support following Facilitative Information Gathering Conference was entered for the following: Joint Legal and Joint Physical Custody of minor child, LINCOLN (age 19 montbs) Parenting Time on alternating weeks with excl'iange son Friday at 5:30pm at the Muskegon Police Departnient.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0043.pdf,1,Father shall not ingest cocaine or any other non-prescribed mind-altemg substance 12 hours prior to or dtu'ing parenhng tunes.,substance
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0043.pdf,1,Child Support obligations calculated ivith application of each party exercising 182.5 overnights eachyear.,ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0040.pdf,1,"The purpose of a trial was for both parties to present ALL of their evidence, and have the opportunity to cross examine any witnesses.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0039.pdf,1,"PARTE ORDER FOR CUSTODY, PARENTING TIME, AND CHILD SUPPORT FOLLOWING FACILIT ATIVE INFORMATION GATHERING CONFERENCE JENNIFER L.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0039.pdf,1,"Muskegon, Ml 49445 Muskegon, Ml 49440 231-903-5690 231 .720.0977 DEFENDANT'S OBJECTION TO EX PARTE ORDER FOR CUSTODY, PARENTING TIME, AND CHILD SUPPORT FOLLOWING FACILITATIVE INFORMATION GATHERING CONFERENCE NOW COMES Defendant, Emily Ann Watson, by and through her Attorney, Jennifer L.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0039.pdf,1,"Barnes of Barnes Law Firm, PLLC, and files this Objection to Ex Parte Order for Custody, Parenting Time, and Child Support Following Facilitative Information Gathering Conference (FIG).",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0039.pdf,1,"In support of this Objection, Defendant states ttie following: 1.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0036.pdf,1,""" l ANDREW' PIGORS pQj!i'FiMlLY WAT,!iON-Bil,00 * nttiftth, 'T:he'suppor;t ca7rsulati6 pi>rovide:k lby Uh{ sCa.lbu[fitorM not e isu%6Tt'recotnmendati6n.or a suppM order, 2'Clldr6n 3Qhu4yg (i 4COiiAi:6h 'A-'Gjiil4ten !'ayeia ANIRgW' Avsr.yOsi4ight s t,,_5 "" ' :With .Pgyer 'Bu g8lteipipOa Tal!!rtef' &'5y7,@, PArt'ni4 1Tiar6'Qffsel E%@lihCarp fny(irancq;%emigm '$'58.'Q0 Aajuaiirieni gb6tutbls $24..a00 Orditia$ Mfdl6a'f -.$-'a.(iO' qiilda(jdre $0':00.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0036.pdf,1,"C%iltt'S:ppport.Chijdr,en'rnC%lter%o)ontR!dotio,qshtjs 0 0 !f6ta!<)iher-(:'f'rlldren 0 1 tnc6rfieh(i3ustrne;m.peroprit'agamoitipiier 83%",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0037.pdf,1,.!D:24-C)Cl507..De Unfform € tiila.Eiupport6rd er67f2l) ease Nn.,ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0037.pdf,1,"' "" "" - ' - Pag-e 2 of 4 ""I, .Item 5 (66ritJiiued), 'G2hildren_supp' orted:N.sfiii d 2ehildren .3ehitdre n 4aHrtare n '6'q,rmqre.chitdr@ri Base.'.Supp o(Irnt:clude ssuppo rpt iu sor minue'premiu amdjuitrnen ftor heq!tii-care insureln6e)- ""8i4ppo-r t: $-rg2t00 Prerriluia6Jus t: $S8-0 0 - !9t5'la(itp l: $j;2Q,, 00 -'0.'0 :Oo - , O:("" 0.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0037.pdf,1,"medical: $'l'2.00 0,o,o Child care: $' Other : ffl E3npfity@:it; $ ' ,,, ,_ Total: $paz.q o O:oCi: € 18upportwas reduoe-ab'lecause:_paye#'s=:imcome.was r:educei f.- - uninsuiq6 Hffialih-4are5xpensesi'Al!unlnsHreitjealthmre=experises.exeeeding the-annu oarld!ha-i-rnemical,.'agi@unt'%i(1 at>l[gatiio nEnda ,EXC6i>t 'f60hi'll ddare ,6r aj atMrWiS oerdered Si uppo rotbligetion 'hf5 rea6ti-GlThlklE' n'theel 'elaiSritda7 6f tm meiritt iU;iechild turns age 18.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0037.pdf,1,"5 , RetroaotivoMoa!ficatiori',Surcharge € orPaet4)=8upportian'dLi*ngforUnpafdeupport,.Excepfasprovide,d by M'OL 652.60:3 ,,support is a judgment tja d@te.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0037.pdf,1,"'!it@ due @n d'is not:.m.odifi@b lreef,roaetively .Asur5tJge mayb6 aaded to Oest-due guThpor tU, rY#aJ dsupaport: !sfl lien by opeit*tion ofraw and the payer's ;p[op'ert' ycab b6 ericumbered oN sgiked If an arrearagsaccrues'.iri 6r i arrioufiaf'g'reaterthan the periodic suppot'paymeHts payffible'fortwoomon'ths under the payer's support order,",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0035.pdf,1,"Fi'naelal tnfoTable I i'eiqtion:.Vin@n6 iJ l A ij5%d so[iyce0[_incqf7 ,ilpollo'iva db,'y.,(PJ:)'isJotAniiul)Incgn'ie, %gi:i)ffipi'TJ!lp _j?arb:JiLS!JAbl6 A4RQW'4'!3ffle,ej4i:f'7Bcoqi6 rlNfl[;Y's!%ut'c6('of'Iiicom'e, bipk)y:erX)iygei $3,4.8(1,0 0 $qpjger)'Viiges $5;i72.21 'fflmpaUoy er tJQl:T('iR(M l""i:aP)lffflS,AaY Rm?'JT(2QR)QYk)RQS'Kt)Tag Oi}6rtjifi6 5:00 Emploly ,cr I,o,,FFl_C_B 5ve""o $0-O-O 8hlftPfL'l'niiiin $'O+O O 8hin.Pr6miam $O:(XJ A jided ?!!X qggif(foll0iyed t)7.1ME :i)s'z$anua71 8@iteite tlxi gia(itint .Ufder;s'ideiitifl'c das a manua ll&yrifat'ekiiax'arnou ntth'5etax.Am(it Tlltsfttg6 aate-easurtiauss qaculaU; ,d):iy(itic:Mi01HlJgupporiqiiliiulaflq?,, -7&( ai=902iMO6 F2.Q!",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0035.pdf,1,"-Base':S-tB6odCalculati6nTible j - -- - - 5ectioniBase.Suppoy t(inieiilfatte n I 6e.6:t,0.7)2%('!!J'3$,(k5 ANDREWPIGORS F,RfLYWA'l'JQN aChj,jdgiippp,rtCbil;die n 1 I (.ltilaShppori-ahil_rJrprioiiCfalculaao ii [ I BadeSupp5fl..Equa(li oh <JeneralCnreBquqtio n GqnerffilCateEsquaiion Base;S€ippottAttiouht $545.00 $61.8t00' :,ver_@ge.(,ygrnj@is':(Hi$qQt-7% !) i8i2i5 .182,5 Pgyer',j3gqSpppo:qf%yRa,re@tJ,'jirne@gQe l -b7,OU SOiQO.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0033.pdf,1,NtMber'6f'e!hnd;8uppoc(;ihildreneV@ a'd'by4eAlt!ie.ht6 lairtiffffie Il !,ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0033.pdf,1,"""p)3ecrMpei(nihqieganre% i'ildJupport $,43.4,0, F;Otffllila MonFM(yaitfiHai'yoMt'di6al8xp erisei $37A3.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0033.pdf,1,"paye?sMgriiWyg )'iare $110 0 '$0,.IOO A8QgEW7I€ :Q8!> pa)IlgMIpY)'%'A_r'S'ON'$33 a2 ,m0Q0nih, .*T'he s.tJppO rtGplc_Ctla fp(OrOrlVfdQd'5 t7hiS C;OfC_lll@ t!; tbri,ort 8 Supr)ar ttea6mmeiJdati(M Or a Sue,pa rtOrder, ""-rhere tS nO Elerlefh :GfMiq a'E;90tialed ffrf,f ith78 .CaleulatlQn LThiS rep0rt d60S rJO""i-jr2e,h)deeddifir( :f%j;qliS ,Or;b8rh ,and b'fhbrs;tetut6r 7<Q'5 ;&ehat'rha7be aSSesSed.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0034.pdf,1,"Q;fr%l%t!r4ggr5 <> _ 30;81 % _ 69,%""o(:a j)ge'8iitinof.ealbulatioi Table l __---'Se€ ttonipAieeruppod CaIlcu1atio n 'l S'ee20#)((MCT?.4-,a!",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0034.pdf,1,"Ciltit&StippottCMIdrWiSnOalculM 'ion [ ,1, 'BaseSupportHgq@ ;iot) '(Jmbral.CartiEqubti on 0=oecalg4rg'gqu3iton pagy5itppprtJJ_gun t $321.0 0 !'720,(10 4vBge(;)yJi6t3.(di'ghe3%aljer) 78 U:'P Ljpyer!s__BaHaS)upponanerhrmfal.Ttiir6 Offset $282,0 0 $ff.OQ at;lightion KMDate (CliiRlr6ttAr al'[Ata 4jrqzt6p to 5gupm;.youngest tooldest.) CjjiAdre_ n:, Ob%sftfonEndMte k'ost'Majbtity LINCQLN.'WATS(jH (i3f3i/2041 :_'@s",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0032.pdf,1,"fhe.children whorare suoootted'underth!sorderand't,is oaverand oavoeare: Ra9bh Pd.%0 :- - a o - - Anarem Jamesf'igprs BmilyAnn'Watson Chila'rqn 'snames and annua lovernTgF iwtsith payer: ehifdren'snames Overnlghts iL,j@c0ln,Qn 78 Effecttv @ Jul 1'j - a 72'o2 o4 , the payer 4ill pqy a monthly child .suppor tdbll'gNtiQ rnorthe children named at-ova.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0028.pdf,1,"Denial of parenting time from April 6, 2025 through May 2, 2025 constihites a violation of MCL 552.641(a) and MCL 552.644.",violation
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0028.pdf,1,NOTICE UNDER MCR 3.207(B)(5) This Ex Parte Order was entered without prior notice to the opposing party.,ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0026.pdf,1,He states that he believes that as a man he fee's that sexism and an established systemic bias favors women/mothers in regards to custody and PPO cases.,ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0023.pdf,1,PPO (23-005907-PP) Favors Defendant/Mother Factor 1 .,ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0023.pdf,1,"Defendant's Objection to Ex Parte Order for Custody, Parenting Time and Cliild Suppoit following Facilitative Information Gathering Conference Granted.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0023.pdf,1,Child Support to be recalculated.,ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0023.pdf,1,"Plaintiff objected to the finding that his Motions filed on .uly 16, 2024 were frivolous and referenced the following: MCL 722.27a, MCL 722.23(k), MCL 722.23(1), MCL 722.27(1)(c), MCL 722.27 and MCL 722.23(f) providing his oppositions to the Courts findings and included several pages (13-177) of wliat he believed to be documented evidence in support of liis objection.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0024.pdf,1,"PIGORS v WATSON FILE # 2024-001507-DC Recommendation dated 3/26/25 PAGE 12 August 23, 2024: Final Order entered regarding Custody & Parenting Time & Child Support followiiig Custody Hea ring.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0024.pdf,1,"Child Support obligations in the amount of $332.00 monthly were calculated with the application of Plaintiff/Father cxercising 78 overnights each year effective July 17, 2024 the date of the Trial.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0024.pdf,1,"February 14, 2025: Plaintiff filed Motion re: Parenting Time requesting Joint Custody and equal parenting time (50/50) be restored and for child support to be recalculated with application of said modifications.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0022.pdf,1,"PIGORS v WATSON FILE # 2024-001507-DC Recommendation dated 3/26/25 PAGE 10 July 16, 2024: Plaintiff filed a Motion for Contempt of Court for the grounds of ""Failure to Pay Child Support"" and ""Refusal to Co- Parent"" requesting the Defendant be found in contempt, issue sanctions for her ""willful disobedience of court orders"", pay any child support arrears immediately and require Defendant to engage in co-parenting through AppClose.","contempt,ppo"
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0022.pdf,1,"July 17, 2024: Non-Jury Trial held regarding the issues of Custody, Parenting Time and Child Support.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0022.pdf,1,"*Ex Patte Order for Custody, Parenting Time and Child Support entered on April 29, 2024 was Dismissed.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0022.pdf,1,"*Plainti'ff's six (6) Motions filed on July 16, 2024, tlie day before Trial, Denied ""as they are frivoloris Motions for wliidi Plaintiff has already been instructed by tis Court that if he files an additional frivolous Motion, he will incur sanctions""' and ""the filings of these Motions was done as harassment to Defendant and to the Court, along with an abusc of the Court syystem""'.","harass,harassment"
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0022.pdf,1,Defendant lias no history of mental or pliysical health concems.,mental
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0020.pdf,1,Child Support obligations were calculated with the application of each party exercising 182.5 overnights each year.,ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0020.pdf,1,"Attorney Barnes filed Defendant's Objection to Ex Parte Order for Custody, Parenting Time and Child Support following Facilitative Information Gathering Conference on belialf of Mother and Notice of Hearing to be held on May 24, 2024 at ll:30am.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0020.pdf,1,"Defendant/Mother objected to all matters (Custody, Parenting Tiine and Cliild Support).",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0020.pdf,1,"Motion for Summary Judgment indicating Defendant failed to present ""substantial evidence supporting her objections"" and referenced MCR 2.116 (C%lO).",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0020.pdf,1,"Motion for Contempt for non-payment of Child Support and ""Defamation"" of Plaintiff' s Cliaracter regarding ""stirveillance aiid misuse of fiutds and cocaine use"" referencing MCL 600.1701.","contempt,ppo"
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0020.pdf,1,"Motion for Discoveiy requesting ""Defendant's Medical Records""; ""Photographic Evidence""; ""Supporting Evidence and Tbird-Party Testimonies"" referencing MCR 2.302 (A).",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0020.pdf,1,"Plaiiitiff requested ""sanctions, summary judgment, contempt ,dascover5r and make-up parenting time"" to ""'address the undue burdens placed on Plaintiff and to uphold tlie integrity of the judicial process"".",contempt
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0021.pdf,1,576(2013) in support of his Motion.,ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0021.pdf,1,"July 10, 2024: Custody, Parenting Time and Child Support Trial Brief filed by Attomey Barnes ori behalf of Defendant/A4other.",ppo
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0021.pdf,1,"Plaintiff stated an Established Custodial Environmcnt existed with him informing lie providcd Daily Care and Stability (feeding, clothing, housing; school attendance, extracurricular participation, consistent daycare); Emotional and Psychological support (safe, loving, conflict free environment) and Continuity and Routine (regular bedtimes, meal times, reading, brushing teeth, potty training, educational and recreational engagement).","ppo,psych"
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0021.pdf,1,"The Defendant's false accusations, harassment, and disruptive behavior, coupled with her attorneys rinprofessional actions, have caused emotional distress, PTSD, and instability"".","harass,harassment"
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0021.pdf,1,"Requested exchanges take place at a neutral location and for the Defendant's father to be prohibited from being present reporting harassment aiid being ""verbally assaulted"" by said person (Defeiidant's father).","assault,harass,harassment"
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0021.pdf,1,"July 16, 2024: Plaintiff filed Motion for Protective Order and Sanctions in Custody Case for the grounds of ""Continuous Harassment and Intrusive Actions"" and ""Misuse of Professional Resources"" requesting a protective order, sanctions against Defendant and to restrict the Defendant's ability to issue subpoenas withorit prior court approv-at.","harass,harassment"
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0019.pdf,1,Parties were scheduled separately due to Personal Protection Order (23-005907-PP).,protection order
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0019.pdf,1,"Plaintiff referenced Michigan Penal Code 750.350a as Legal Basis for Relief and requested the child be iirunediately returned to liis care; modify Custody/Parenting Time Orders to ""50/50""; find Defendant in contempt with sanctions or charges of kidnapping and prohibit Lori Watson from being the minor child's daily caregiver.",contempt
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0019.pdf,1,Defendant/Motlier disagreed with the Plaintiff' s allegations; requested the Plaintiff s mental health be evaluated; show proof he has a safe and suitable home and proof of child care arrangements prior to any parenting time determinations being made.,mental
scanned_300/SCANNEDcustody scanned2_0070/custody scanned2_0019.pdf,1,Plaintiff to not ingest cocaine or any other non-prescribed mind-altering substances twelve (12) hours prior to aiid/or during parenting times.,substance
