source_dir,file,stream,topic
EXTRACTED_TEXT,"NEW PARENTING TIME EXPARTE AND CUSTODY/MASTER FILING CHECKLIST  EX PARTE, CUSTODY MODIFICATION, AND DE NOVO HEARING.txt",MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/MC220_MOTION_COVER_SHEET_APRIL_16_2025.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/MOTION COVER SHEET.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/MOTION FOR LEAVE TO FILE SUPPORTING DOCUMENTS.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/MOTION FOR LEAVE TO SUBMIT EXHIBITS AT DE NOVO HEARING.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/MOTION_FOR_LEAVE_TO_FILE_EXHIBITS_APRIL_16_2025.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/MOTION_PACKET_SUMMARY_EX_PARTE_APRIL_16_2025.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/PLAINTIFFS MOTION FOR JUDICIAL NOTICE OF PRIOR COURT FINDING.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/PROPOSED EX PARTE ORDER FOR IMMEDIATE ENFORCEMENT OF PARENTING TIME AND TEMPORARY MODIFICATION.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/PROPOSED ORDER GRANTING PLAINTIFF'S MOTION FOR LEAVE TO SUBMIT EXHIBITS AT DE NOVO HEARING.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/PROPOSED_EX_PARTE_ORDER_PARENTING_TIME_APRIL_16_2025.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/PROPOSED_EX_PARTE_ORDER_PARENTING_TIME_APRIL_16_2025111.txt,MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/PROPOSED_ORDER_LEAVE_TO_FILE_EXHIBITS_APRIL_16_2025.txt,MEEK1,housing_violation
EXTRACTED_TEXT,"NEW PARENTING TIME EXPARTE AND CUSTODY/UNIVERSAL EXHIBIT INDEX  EX PARTE, CUSTODY, AND DE NOVO PARENTING TIME HEARING.txt",MEEK1,housing_violation
EXTRACTED_TEXT,NEW PARENTING TIME EXPARTE AND CUSTODY/UPDATED_EXHIBIT_INDEX_EX_PARTE_MOTION_APRIL_16_2025.txt,MEEK1,housing_violation
EXTRACTED_TEXT,Pigors_MOTIONS/Motion_Vacate_Footnoted.txt,MEEK1,housing_violation
EXTRACTED_TEXT,Pigors_MOTIONS/Objection_CounterMotion_ProposedOrder.txt,MEEK1,housing_violation
EXTRACTED_TEXT,Pigors_v_Watson_8-22-25_Hearing_Pack_2025-08-19/Pigors_v_Watson_Objection_CounterMotion_ProposedOrder_2025-08-19.txt,MEEK1,housing_violation
EXTRACTED_TEXT,Pigors_v_Watson_8-22-25_Hearing_Pack_2025-08-19/Pigors_v_Watson_RTA_to_Watson_2025-08-19.txt,MEEK1,housing_violation
EXTRACTED_TEXT,Pigors_v_Watson_8-22-25_Hearing_Pack_2025-08-19/Pigors_v_Watson_Oral_Handup_One_Page_2025-08-19.txt,MEEK1,housing_violation
EXTRACTED_TEXT,Pigors_v_Watson_8-22-25_Hearing_Pack_2025-08-19/Pigors_v_Watson_Motion_to_Compel_Native_Audio_2025-08-19.txt,MEEK1,housing_violation
EXTRACTED_TEXT,THIS IS THE BEGINNING FOR AUGUST 22/Proposed_Order_Vacate_Ex_Parte_PT_Suspension (1).txt,MEEK1,housing_violation
EXTRACTED_TEXT,THIS IS THE BEGINNING FOR AUGUST 22/Motion_WITH_EXHIBITS_XREF_UPDATED (1).txt,MEEK1,housing_violation
EXTRACTED_TEXT,THIS IS THE BEGINNING FOR AUGUST 22/04_Proof_of_Service_Motion_Package.txt,MEEK1,housing_violation
EXTRACTED_TEXT,THIS IS THE BEGINNING FOR AUGUST 22/02_Objection_to_Ex_Parte_Order.txt,MEEK1,housing_violation
EXTRACTED_TEXT,THIS IS THE BEGINNING FOR AUGUST 22/01_Notice_of_Hearing_and_Motion_Title.txt,MEEK1,housing_violation
EXTRACTED_TEXT,THIS IS THE BEGINNING FOR AUGUST 22/00_Filing_Cover_Sheet.txt,MEEK1,housing_violation
EXTRACTED_TEXT,THIS IS THE BEGINNING FOR AUGUST 22/Affidavit_of_Andrew_J_Pigors_SWORN (1).txt,MEEK1,housing_violation
EXTRACTED_TEXT,THIS IS THE BEGINNING FOR AUGUST 22/07_Witness_List.txt,MEEK1,housing_violation
EXTRACTED_TEXT,THIS IS THE BEGINNING FOR AUGUST 22/Motion_WITH_EXHIBITS_XREF_FOOTNOTED.txt,MEEK1,housing_violation
EXTRACTED_TEXT,THIS IS THE BEGINNING FOR AUGUST 22/Pigors_v_Watson_Motion_to_Compel_Native_Audio_2025-08-19.txt,MEEK1,housing_violation
EXTRACTED_TEXT,THIS IS THE BEGINNING FOR AUGUST 22/Pigors_v_Watson_Objection_CounterMotion_ProposedOrder_2025-08-19.txt,MEEK1,housing_violation
EXTRACTED_TEXT,THIS IS THE BEGINNING FOR AUGUST 22/Pigors_v_Watson_Oral_Handup_One_Page_2025-08-19.txt,MEEK1,housing_violation
EXTRACTED_TEXT,THIS IS THE BEGINNING FOR AUGUST 22/Pigors_v_Watson_RTA_to_Watson_2025-08-19.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,CORE_PDFS/00_Filing_Cover_Sheet.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,CORE_PDFS/01_Notice_of_Hearing_and_Motion_Title.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,CORE_PDFS/02_Objection_to_Ex_Parte_Order.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,CORE_PDFS/03_Brief_in_Support_Motion_Vacate.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,CORE_PDFS/04_Proof_of_Service_Motion_Package.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,CORE_PDFS/Affidavit_of_Andrew_J_Pigors_SWORN.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,CORE_PDFS/Proposed_Order_Vacate_Ex_Parte_PT_Suspension.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,CORE_PDFS/Motion_WITH_EXHIBITS_XREF_UPDATED.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,MIFILE_UPLOAD/01_Notice.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,MIFILE_UPLOAD/02_Objection.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,MIFILE_UPLOAD/03_Motion_to_Vacate.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,MIFILE_UPLOAD/04_Brief_in_Support.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,MIFILE_UPLOAD/05_Affidavit.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,MIFILE_UPLOAD/06_Proposed_Order.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,MIFILE_UPLOAD/15_Proof_of_Service.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,MOTIONS_PDFS/Motion_Vacate_Footnoted.txt,MEEK1,housing_violation
FULLTEXT_EXPANDED_FAST,MOTIONS_PDFS/Objection_CounterMotion_ProposedOrder.txt,MEEK1,housing_violation
